區域名稱,位置代號,位置名稱
小空地,DC001,小空地01
小空地,DC002,小空地02
小空地,DC003,小空地03
小空地,DC004,小空地04
小空地,DC005,小空地05
小空地,DC006,小空地06
小空地,DC007,小空地07
小空地,DC008,小空地08
小空地,DC009,小空地09
小空地,DC010,小空地10-圍籬
小空地,DC011,小空地11
小空地,DC012,小空地-奇異果區
小空地,DC013,小空地-樹葡萄果區
大空地,DD001,大空地A1
大空地,DD002,大空地A2
大空地,DD003,大空地A3
大空地,DD004,大空地A4
大空地,DD005,大空地A5
大空地,DD006,大空地A6
大空地,DD007,大空地A7
大空地,DD008,大空地A8
大空地,DD009,大空地A9
大空地,DD010,大空地A10
大空地,DD011,大空地A11
大空地,DD012,大空地A12
大空地,DD013,大空地A13
大空地,DD014,大空地A14
大空地,DD015,大空地A15
大空地,DD016,大空地A16
大空地,DD017,大空地A17
大空地,DD018,大空地A18
大空地,DD019,大空地A19
大空地,DD020,大空地A20
大空地,DD021,大空地A21
大空地,DD022,大空地A22
大空地,DD023,大空地A23
大空地,DD024,大空地A24
大空地,DD025,大空地A25
大空地,DD026,大空地A26
大空地,DD027,大空地A27
大空地,DD028,大空地A28
大空地,DD029,大空地A29
大空地,DD030,堆肥區
大空地,DD031,出貨區
大空地,DD032,廚房
大空地,DD033,乾燥室
大空地,DD034,大空地-圍牆
河床邊,DE001,河床邊
畜水產,DF001,魚池
畜水產,DF002,肉雞舍
畜水產,DF003,蛋雞舍
黃金果區,DG001,黃金果區
溫室,DH101,溫室一
溫室,DH201,溫室二
溫室,DH301,溫室三之一
溫室,DH302,溫室三之二
溫室,DH303,溫室三之三
溫室,DH304,溫室三之四
溫室,DH305,溫室三之五
溫室,DH306,溫室三之六
溫室,DH307,溫室三之七
蘭花園,DL001,蘭花園
南林,DN001,南林
生菜及育苗室,DS001,育苗室
生菜及育苗室,DS002,育苗室埔里農莊寄放
埔里農莊,PL001,水果區
埔里農莊,PL002,蔬菜區
埔里農莊,PL003,樸門區
埔里農莊,PL004,茶品區
A區,A01,溫室1號
A區,A02,溫室2號
A區,A03,溫室3號
A區,A04,溫室4號
A區,A05,溫室5號
B區,B01,露天田區1
B區,B02,露天田區2
B區,B03,露天田區3
B區,B04,露天田區4
B區,B05,露天田區5
C區,C01,育苗室1
C區,C02,育苗室2
C區,C03,育苗室3
D區,D01,包裝區
D區,D02,倉儲區
D區,D03,加工區
E區,E01,堆肥區
E區,E02,資材區
E區,E03,工具區
F區,F01,辦公室
F區,F02,會議室
F區,F03,休息區
