商品編號,規    格,顏色,中分類,單位
28010010,菠菜,,801,斤
28010011,菠菜-250g,,801,包
28010012,菠菜-300g,,801,包
28010020,A菜,,801,斤
28010021,A菜-250g,,801,包
28010022,A菜-300g,,801,包
28010030,青江菜,,801,斤
28010031,青江菜-250g,,801,包
28010032,青江菜-300g,,801,包
28010040,小松菜,,801,斤
28010041,小松菜-250g,,801,包
28010042,小松菜-300g,,801,包
28010043,小松菜-300g,,801,包
28010050,阿麗白菜,,801,斤
28010051,阿麗白菜-250g,,801,包
28010060,三鳳白菜,,801,斤
28010061,三鳳白菜-250g,,801,包
28010070,黑葉白菜,,801,斤
28010071,黑葉白菜-250g,,801,包
28010072,黑葉白菜-300g,,801,包
28010080,農友二號(牛奶白菜),,801,斤
28010081,農友二號(牛奶白菜)-250g,,801,包
28010090,青莧菜,,801,斤
28010091,青莧菜-250g,,801,包
28010100,尖葉莧菜,,801,斤
28010101,尖葉莧菜-250g,,801,包
28010110,空心菜（竹葉）,,801,斤
28010111,空心菜（竹葉）-250g,,801,包
280101130    -8,芥菜,,801,斤
28010120,茼蒿,,801,斤
28010121,茼蒿-250g,,801,包
28010130,山茼蒿,,801,斤
28010131,山茼蒿-250g,,801,包
28010140,福山萵苣,,801,斤
28010141,福山萵苣-600g,,801,包
28010142,福山萵苣-300g,,801,包
28010143,福山萵苣-250g,,801,包
28010150,蘿美萵苣,,801,斤
28010151,蘿美萵苣-600g,,801,包
28010152,蘿美萵苣-250g,,801,包
28010160,紅鳳菜,,801,斤
28010161,紅鳳菜-250g,,801,包
28010170,皇宮菜,,801,斤
28010171,皇宮菜-250g,,801,包
28010180,龍鬚菜,,801,斤
28010181,龍鬚菜-250g,,801,包
28010182,龍鬚菜-300g,,801,包
28010190,地瓜葉,,801,斤
28010191,地瓜葉-250g,,801,包
28010192,地瓜葉-300g,,801,包
28010200,過貓,,801,斤
28010201,過貓-250g,,801,包
28010210,韭菜,,801,斤
28010211,韭菜-250g,,801,包
28010220,麻薏,,801,斤
28010230,蔥,,801,斤
28010231,蔥-250g,,801,包
28010232,蔥-350g,,801,包
28010233,蔥-125g,,801,包
28010234,蔥-150g,,801,包
28010240,蒜,,801,斤
28010241,蒜-250g,,801,包
28010250,芹菜,,801,斤
28010251,芹菜-250g,,801,包
28010260,九層塔,,801,斤
28010261,九層塔-50g,,801,包
28010262,九層塔-120g,,801,包
28010270,香菜,,801,斤
28010271,香菜-60克,,801,包
28010280,刺蔥,,801,斤
28010281,刺蔥,,801,克
28010290,高麗菜,,801,斤
28010291,高麗菜-1200g,,801,包
28010292,高麗菜-900g,,801,包
28010293,高麗菜-600g,,801,包
28010294,高麗菜-300g,,801,包
28010295,高麗菜-1500g,,801,包
28010296,高麗菜,,801,顆
28010300,結頭菜-重複（使用28030810）,,801,斤
28010301,結頭菜-900g 重複-使用28030811,,801,包
28010302,結頭菜-1200g重複-使用28030812,,801,包
28010303,結頭菜-600g重複-使用28030813,,801,包
28010304,結頭菜-450g重複-使用28030814,,801,包
28010310,青花椰菜,,801,斤
28010311,青花椰菜-600g,,801,包
28010312,青花椰菜-1200g,,801,包
28010313,青花椰菜-300g,,801,包
28010320,白花椰菜,,801,斤
28010321,白花椰菜-600g,,801,包
28010322,白花椰菜-300g,,801,包
28010330,甜菜根,,801,斤
28010340,包心白菜,,801,斤
28010341,包心白菜-600g,,801,包
28010342,包心白菜-900g,,801,包
28010343,包心白菜-300g,,801,包
28010344,包心白菜-1200g,,801,包
28010345,包心白菜-1500g,,801,包
28010350,包心芥菜,,801,斤
28010351,包心芥菜-600g,,801,包
28010352,包心芥菜-1200g,,801,包
28010353,包心芥菜-900g,,801,包
28010360,紅橡生菜,,801,斤
28010370,紅捲萵苣,,801,斤
28010380,山芹菜,,801,斤
28010381,山芹菜-250克,,801,包
28010390,芥藍菜,,801,斤
28010391,芥藍菜-250g,,801,包
28010392,芥藍菜-600g,,801,包
28010400,油菜,,801,斤
28010401,油菜-250g,,801,包
28010410,白菜,,801,斤
28010411,白菜-250g,,801,包
28010412,白菜-300g,,801,包
28010420,綠火焰生菜,,801,斤
28010430,紅火焰生菜,,801,斤
28010440,鹿角萵苣,,801,斤
28010441,鹿角萵苣-600克,,801,包
28010442,鹿角萵苣-250克,,801,包
28010443,紅鹿角萵苣,,801,斤
28010444,綠鹿角萵苣,,801,斤
28010450,紫甘藍,,801,斤
28010451,紫甘藍-250g,,801,包
28010452,紫甘藍-900g,,801,包
28010460,蘿蔔葉,,801,斤
28010470,山東大白菜,,801,斤
28010471,山東大白菜-2400g,,801,包
28010480,綠橡生菜,,801,斤
28010481,綠橡萵苣,,801,斤
28010490,牛奶萵苣,,801,斤
28010500,紅珊瑚生菜,,801,斤
28010510,紅莧菜,,801,斤
28010511,紅莧菜-250g,,801,包
28010520,紫衣白菜,,801,斤
28010530,牛奶白菜,,801,斤
28010531,牛奶白菜-250g,,801,包
28010540,羽衣甘藍,,801,斤
28010550,芝麻葉,,801,斤
28010560,日本香菜-重複(使用28010840）,,801,斤
28010570,波斯頓萵苣,,801,斤
28010580,爽綠早生京水菜,,801,斤
28010590,茴香,,801,斤
28010600,天美白菜,,801,斤
28010610,蚵白菜,,801,斤
28010620,烤肉A菜,,801,斤
28010630,皺葉A菜,,801,斤
28010640,冰花,,801,斤
28010650,綠捲生菜,,801,斤
28010660,菊苣生菜,,801,斤
28010661,菊苣生菜-600g,,801,包
28010670,青花筍,,801,斤
28010671,青花筍-600g,,801,包
28010680,日本茼萵,,801,斤
28010690,狗母菜,,801,斤
28010700,豆苗菜,,801,斤
28010701,豆苗菜-250g,,801,包
28010710,水芹菜,,801,斤
28010720,芥藍花菜,,801,斤
28010721,芥藍花菜-600g,,801,包
28010730,野莧菜,,801,斤
28010740,孢子甘藍,,801,斤
28010750,黑葉芥藍,,801,斤
28010760,水蕹菜,,801,斤
28010770,韓國芝麻葉,,801,克
28010780,甜蘿蔓萵苣,,801,斤
28010781,甜蘿蔓萵苣-250g,,801,包
28010790,紫葉萵苣,,801,斤
28010800,綠葉萵苣,,801,斤
28010801,綠葉萵苣-250g,,801,包
28010810,結球萵苣,,801,斤
28010820,塔菇菜,,801,斤
28010830,明日葉,,801,斤
28010840,日本香菜(刺芫荽),,801,斤
28010850,甜羅勒,,801,斤
28010860,明泉萵苣,,801,斤
28010870,空心菜(白骨),,801,斤
28010871,空心菜(白骨)-250g,,801,包
28010880,紅翠萵苣,,801,斤
28010881,紅翠萵苣-250g,,801,包
28010890,翠花萵苣,,801,斤
28010891,翠花萵苣-250g,,801,包
28010900,綠海萵苣,,801,斤
28010901,綠海萵苣-250g,,801,包
28010910,紅珊瑚萵苣,,801,克
28010911,紅珊瑚萵苣-250g,,801,包
28010920,冠軍蘿蔓,,801,斤
28010921,冠軍蘿蔓-250g,,801,包
28010930,翠妹萵苣,,801,斤
28010931,翠妹萵苣-250g,,801,包
28010940,西洋芹,,801,斤
28011000,高麗菜苗,,801,斤
28020010,樹葡萄,,802,斤
28020011,樹葡萄600g,,802,盒
28020012,樹葡萄(冷凍),,802,斤
28020013,樹葡萄300g,,802,盒
28020014,樹葡萄　　,,802,公斤
28020020,玉女小番茄,,802,斤
28020021,玉女小番茄600g/盒,,802,盒
28020030,黑柿番茄,,802,斤
28020040,火龍果(白),,802,斤
28020041,火龍果(白)-2斤,,802,包
28020042,火龍果(白)-5斤,,802,箱
28020043,火龍果(白) -1斤,,802,包
28020044,火龍果(白) -450g,,802,包
28020045,火龍果(白)-900g,,802,包
28020050,火龍果(紅),,802,斤
28020051,火龍果(紅)-2斤,,802,包
28020052,火龍果(紅)-5斤,,802,箱
28020053,火龍果(紅)-3斤,,802,包
28020054,火龍果(紅)-1.5斤,,802,包
28020055,火龍果(紅)-1斤,,802,包
28020056,火龍果(紅)-450g,,802,包
28020057,火龍果(紅)-300g,,802,包
28020058,火龍果(白)-300g,,802,包
28020060,草莓,,802,斤
28020061,甘王草莓,,802,斤
28020062,白草莓,,802,斤
28020063,枥木天空草莓,,802,斤
28020064,白草莓,,802,斤
28020065,香水草莓-200g,,802,盒
28020066,香水草莓,,802,斤
28020067,香水草莓-次級,,802,斤
28020068,次級香水草莓-200g,,802,盒
28020070,無花果,,802,斤
28020080,桑葚,,802,斤
28020090,黃金果,,802,斤
28020091,黃金果-5斤,,802,箱
28020092,黃金果-600g,,802,包
28020093,黃金果-300g,,802,包
28020094,黃金果-1斤,,802,斤
28020095,黃金果-1200g,,802,包
28020100,百香果,,802,斤
28020101,百香果-600g,,802,袋
28020110,香蕉,,802,斤
28020111,香蕉-600g,,802,包
28020112,香蕉-1200g,,802,包
28020120,美人蕉,,802,斤
28020130,檸檬,,802,斤
28020131,檸檬-600g,,802,包
28020132,檸檬-350g,,802,包
28020133,檸檬-450g,,802,包
28020134,檸檬-250g,,802,包
28020135,檸檬 400g,,802,包
28020136,檸檬-300g,,802,包
28020140,香水檸檬,,802,斤
28020150,愛玉,,802,斤
28020160,奇異果,,802,斤
28020170,咖啡,,802,斤
28020180,葡萄,,802,斤
28020190,橄欖,,802,斤
28020200,洋香瓜,,802,斤
28020210,巨峰葡萄,,802,
28020220,蓮霧,,802,斤
28020230,酪梨,,802,斤
28020240,芭樂（白）,,802,斤
28020250,橙蜜香-黃小番茄,,802,斤
28020260,津香木瓜-重複-使用28020330,,802,斤
28020270,芭樂（紅）,,802,斤
28020280,大西瓜（紅）,,802,斤
28020290,長楕圓西瓜（紅）,,802,斤
28020300,洛神花（含籽）,,802,斤
28020301,洛神花（去籽）,,802,斤
28020310,木鱉果,,802,斤
28020320,紅桃木瓜,,802,斤
28020321,青木瓜,,802,斤
28020330,津香木瓜,,802,斤
28020340,細葉蕃石榴,,802,斤
28020350,草莓蕃石榴,,802,斤
28020360,燈籠果,,802,斤
28020370,櫻桃,,802,斤
28020380,嬌女小番女,,802,斤
28020390,阿娜娜-俗稱為刺果番荔枝,,802,斤
28020400,砂糖橘子,,802,斤
28020410,聖女小番茄,,802,斤
28020420,紅妃木瓜,,802,斤
28020430,紅冠木瓜,,802,斤
28020440,紅壽木瓜,,802,斤
28020450,翠紅小番茄,,802,斤
28020455,白柚,,802,斤
28030010,白蘿蔔,,803,斤
28030011,白蘿蔔-600g,,803,包
28030012,白蘿蔔-900g,,803,包
28030013,白蘿蔔-1200g,,803,包
28030014,白蘿蔔-300g,,803,包
28030020,紅蘿蔔,,803,斤
28030021,紅蘿蔔-600g,,803,包
28030030,水果玉米,,803,斤
28030031,水果玉米-600g,,803,包
28030032,水果玉米-1200g,,803,包
28030033,水果玉米-500g,,803,包
28030040,玉米筍,,803,斤
28030041,玉米筍-600克,,803,包
28030042,玉米筍-900克,,803,包
28030043,玉米筍-300g,,803,包
28030044,玉米筍(裸),,803,斤
28030045,玉米筍- 230g,,803,包
28030050,彩椒(紅),,803,斤
28030051,彩椒(紅)-300g,,803,包
28030052,彩椒(紅)-600g,,803,包
28030060,彩椒(黃),,803,斤
28030061,彩椒(黃)-300g,,803,包
28030062,彩椒(黃)-600g,,803,包
28030070,青椒,,803,斤
28030071,青椒-600克,,803,包
28030072,青椒-300克,,803,包
28030080,秋葵,,803,斤
28030081,秋葵-250克,,803,包
28030082,秋葵-300g,,803,包
28030083,秋葵-120克,,803,包
28030090,小黃瓜,,803,斤
28030091,小黃瓜-600克,,803,包
28030092,小黃瓜-300克,,803,包
28030093,小黃瓜-175克,,803,包
28030094,小黃瓜-900克,,803,包
28030095,小黃瓜-250g,,803,包
28030096,小黃瓜-1200克,,803,包
28030100,大黃瓜,,803,斤
28030110,茄子,,803,斤
28030111,茄子-600g,,803,包
28030112,茄子-300g,,803,包
28030113,茄子-350g,,803,包
28030120,瓠瓜,,803,斤
28030121,瓠瓜-1500g,,803,顆
28030122,瓠瓜-600g,,803,顆
28030123,瓠瓜-1200g,,803,顆
28030124,瓠瓜-1800g,,803,顆
28030125,瓠瓜-900g,,803,顆
28030130,絲瓜,,803,斤
28030131,絲瓜-600g,,803,包
28030132,絲瓜-1200g,,803,包
28030133,絲瓜 300g,,803,包
28030140,苦瓜,,803,斤
28030141,苦瓜     600g,,803,包
28030142,苦瓜-300g,,803,包
28030150,大冬瓜,,803,斤
28030160,芋頭冬瓜,,803,斤
28030161,芋頭冬瓜  1800g,,803,顆
28030162,芋頭冬瓜  2100g,,803,顆
28030163,芋頭冬瓜-1200g,,803,顆
28030164,芋頭冬瓜-1500g,,803,顆
28030165,芋頭冬瓜-600g,,803,顆
28030170,佛手瓜,,803,斤
28030180,甜豆,,803,斤
28030181,甜豆-400g,,803,包
28030190,醜豆,,803,斤
28030191,醜豆       400g,,803,包
28030192,醜豆-230g,,803,包
28030193,醜豆 120g,,803,包
28030194,醜豆       250g,,803,包
28030200,四季豆,,803,斤
28030201,四季豆-400g,,803,包
28030202,四季豆300g,,803,包
28030203,四季豆 -230g,,803,包
28030204,四季豆600g,,803,包
28030210,長豆,,803,斤
28030211,長豆-400g,,803,包
28030220,皇帝豆,,803,斤
28030230,荷蘭豆,,803,斤
28030231,荷蘭豆-250g,,803,包
28030240,糯米椒,,803,斤
28030250,紅辣椒,,803,斤
28030251,紅辣椒 125克,,803,包
