商品編號 ,品名規格、品牌,單位,可銷售庫存
28040010,伊莎雞蛋,顆,18212
28040011,伊莎雞蛋          10入,盒,-2851
28040040,黃金雞,斤,1174.8
28040062,鵝胗,斤,21.8
28041010,半雞切塊　900g,盒,48
28041020,腿肉切塊　600g,盒,-42
28041021,腿肉切塊　600g,包,85
28041030,三節翅            500g,盒,27
28041032,三節翅-3kg/包,斤,797
28041033,三節翅（4支）　600g,包,5
28041034,2節翅-300g,包,-9
28041035,翅腿-300g,包,2
28041042,清胸-3kg/包,斤,570.8
28041044,雞清胸-（皮）-3kg/包,斤,234.2
28041045,清胸肉（去皮）　280g,包,53
28041046,雞清胸絞肉,斤,6.5
28041050,里肌              200g,盒,3
28041053,里肌　220-230g,包,28
28041060,雞佛,斤,6
28041070,雞心,斤,60.7
28041080,雞肫,斤,4
28041090,雞頭脖,斤,577.6
28041091,雞頭脖去皮-3kg/包,斤,273.1
28041092,雞脖皮-3kg/包,斤,133.3
28041100,雞骨 (架）,斤,1652
28041120,雞尾椎,斤,35.5
28041130,雞腳,斤,95.7
28041140,鴨胗,斤,180.2
28041160,清胸肉(帶皮)-3kg/包,斤,-5
28041170,里肌-3kg/包,斤,245.9
28041190,腿肉(帶皮去骨)-3kg/包,斤,-441.7
28041191,腿肉(帶皮帶踝-去骨)-3kg/包,斤,1912.9
28041200,二節翅-3kg/包,斤,54.4
28041210,翅腿-3kg/包,斤,-2.7
28041231,腿肉-(高麗菜)水餃-100顆/包,包,49
28041240,鴨心,斤,42.4
28041260,雞肝,斤,193.3
28042050,鴨肝,斤,74.2
28042110,鵝肝,斤,13.2
28042120,雞肉切塊3kg/包,斤,31.4
28042130,雞腿 (骨),斤,88.9
28042150,馬告檸檬椒鹽舒肥雞胸(100g)/片,包,251
28042160,馬告檸檬椒鹽舒肥雞腿(100g),包,41
28042170,鴨內臟,斤,15
